GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,9,116,4,9,1,24,4,5,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,161,96,11,2,45,25,10,4,3,4
parking-system,com.parkit.parkingsystem.service,InteractiveShell,74,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,43,19,8,0,13,8,10,3,6,3
parking-system,com.parkit.parkingsystem.model,Ticket,11,41,0,0,5,17,3,12,3,12
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,DbConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.util,Credentials,27,0,2,0,8,0,3,0,2,0
parking-system,com.parkit.parkingsystem.dao,TicketDao,222,4,4,0,58,1,6,1,4,1
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDao,113,4,4,0,32,1,5,1,3,1
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,79,0,6,0,31,0,9,0,6,0
